epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2969.57,1.40997,1.39351,2.1682,0.39322,0.51083,0.57648,0.50771,1.29264,1.94899,2.15075,0.000440067,0.000440067,0.000440067
63,3016.85,1.3656,1.35197,2.16064,0.49764,0.57533,0.57582,0.50571,1.29932,1.97633,2.10952,0.000429068,0.000429068,0.000429068
64,3063.95,1.42963,1.36157,2.1875,0.52389,0.62794,0.60889,0.52865,1.20847,1.66394,2.08758,0.000418069,0.000418069,0.000418069
65,3111.44,1.42672,1.37627,2.16433,0.50783,0.5951,0.59899,0.51327,1.25803,1.73673,2.14062,0.00040707,0.00040707,0.00040707
66,3158.64,1.41406,1.33179,2.15092,0.48567,0.61224,0.5945,0.50705,1.22943,1.70118,2.04869,0.000396071,0.000396071,0.000396071
67,3206.43,1.39519,1.31161,2.14711,0.47291,0.65625,0.57213,0.49367,1.17938,1.85263,2.07045,0.000385073,0.000385073,0.000385073
68,3255.06,1.445,1.37664,2.19945,0.38842,0.61408,0.53194,0.47194,1.19095,1.92006,2.12104,0.000374074,0.000374074,0.000374074
69,3303.36,1.41729,1.3487,2.17451,0.37473,0.63495,0.55408,0.48942,1.21927,1.95524,2.13343,0.000363075,0.000363075,0.000363075
70,3350.91,1.35121,1.3042,2.15304,0.46328,0.58888,0.56166,0.49517,1.16691,1.73149,2.04026,0.000352076,0.000352076,0.000352076
71,3401.31,1.28412,1.27509,2.08751,0.47359,0.61363,0.609,0.53037,1.19834,1.72615,2.0618,0.000341077,0.000341077,0.000341077
72,3449.1,1.35876,1.27997,2.14622,0.42234,0.60907,0.54958,0.47398,1.26431,1.8759,2.13155,0.000330078,0.000330078,0.000330078
73,3498.33,1.325,1.22208,2.11488,0.43392,0.54388,0.5529,0.47766,1.22362,1.70677,2.06198,0.000319079,0.000319079,0.000319079
74,3547.25,1.36211,1.33465,2.15189,0.45806,0.5885,0.57224,0.49297,1.28296,1.64016,2.11548,0.00030808,0.00030808,0.00030808
75,3596.21,1.30982,1.27775,2.08957,0.46773,0.59677,0.53069,0.45992,1.22994,1.97709,2.07635,0.000297081,0.000297081,0.000297081
76,3645.54,1.31688,1.22945,2.13857,0.5103,0.50912,0.52517,0.4635,1.18726,1.92628,2.05174,0.000286083,0.000286083,0.000286083
77,3693.6,1.32035,1.23142,2.10403,0.45962,0.56553,0.5414,0.46931,1.26369,1.77757,2.1225,0.000275084,0.000275084,0.000275084
78,3742.31,1.34994,1.25864,2.09428,0.46182,0.55896,0.55101,0.48231,1.2366,1.70553,2.08761,0.000264085,0.000264085,0.000264085
79,3791.06,1.3799,1.24248,2.16131,0.4339,0.58206,0.55429,0.48138,1.20489,1.66097,2.05734,0.000253086,0.000253086,0.000253086
80,3840.03,1.30893,1.18861,2.08535,0.50451,0.59056,0.57806,0.51026,1.20422,1.75399,2.10523,0.000242087,0.000242087,0.000242087
81,3890.78,1.33628,1.2316,2.15263,0.47914,0.66848,0.58815,0.51698,1.21443,1.75091,2.09092,0.000231088,0.000231088,0.000231088
82,3940.64,1.27434,1.13753,2.09412,0.49145,0.65798,0.5978,0.52193,1.20314,1.61748,2.08085,0.000220089,0.000220089,0.000220089
83,3988.67,1.25208,1.11752,2.08109,0.49825,0.6881,0.58835,0.51787,1.21176,1.77052,2.07903,0.00020909,0.00020909,0.00020909
84,4037.54,1.30138,1.16586,2.0971,0.52443,0.66973,0.58148,0.51206,1.18477,1.65237,2.07978,0.000198091,0.000198091,0.000198091
85,4085.48,1.30179,1.16598,2.12363,0.52623,0.64654,0.56936,0.49704,1.20058,1.76025,2.09407,0.000187092,0.000187092,0.000187092
86,4133.95,1.287,1.19397,2.09032,0.49086,0.60461,0.54382,0.47889,1.20277,1.92751,2.10504,0.000176094,0.000176094,0.000176094
87,4183.18,1.22425,1.0985,2.0787,0.47556,0.53453,0.54217,0.47349,1.18578,1.92363,2.07953,0.000165095,0.000165095,0.000165095
88,4232.11,1.24568,1.12323,2.08183,0.46672,0.62284,0.5764,0.5099,1.16861,1.90254,2.07907,0.000154096,0.000154096,0.000154096
89,4281.01,1.27783,1.15165,2.0623,0.51891,0.50558,0.53062,0.4644,1.18859,1.98775,2.07924,0.000143097,0.000143097,0.000143097
90,4329.55,1.27281,1.13089,2.08574,0.51575,0.54708,0.56002,0.48838,1.1997,1.84232,2.08234,0.000132098,0.000132098,0.000132098
91,4447.2,1.07724,0.93812,1.98262,0.47505,0.67739,0.5745,0.50951,1.20772,1.80523,2.09341,0.000121099,0.000121099,0.000121099
92,4494.93,1.06097,0.89205,2.00115,0.54344,0.58882,0.55407,0.48742,1.2526,1.90447,2.11971,0.0001101,0.0001101,0.0001101
93,4542.72,1.0649,0.85945,1.98263,0.46642,0.62878,0.53429,0.47181,1.20317,1.90579,2.08002,9.91012e-05,9.91012e-05,9.91012e-05
94,4591.77,1.0449,0.84681,2.00636,0.51276,0.60854,0.54313,0.47977,1.16629,1.82442,2.07286,8.81023e-05,8.81023e-05,8.81023e-05
95,4639.42,1.03296,0.82828,1.99407,0.49712,0.65024,0.55897,0.48858,1.16718,1.80906,2.06114,7.71034e-05,7.71034e-05,7.71034e-05
96,4687.57,1.05125,0.81333,1.98179,0.53239,0.63687,0.55284,0.48261,1.1561,1.81103,2.04953,6.61045e-05,6.61045e-05,6.61045e-05
97,4735.78,1.05966,0.88353,1.98708,0.53402,0.66221,0.56881,0.50414,1.15551,1.83636,2.04711,5.51056e-05,5.51056e-05,5.51056e-05
98,4783.07,1.00979,0.80971,1.97029,0.51832,0.67442,0.55147,0.48567,1.13765,1.87925,2.03614,4.41067e-05,4.41067e-05,4.41067e-05
99,4830.95,1.02283,0.80142,1.96524,0.47852,0.61848,0.54449,0.47778,1.15244,1.86365,2.05023,3.31078e-05,3.31078e-05,3.31078e-05
100,4884.65,1.02819,0.8187,1.97435,0.49763,0.63952,0.5562,0.48998,1.1458,1.87521,2.04825,2.21089e-05,2.21089e-05,2.21089e-05
