epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,8500.01,0.45156,0.71835,1.74052,0.94886,0.91704,0.96141,0.94636,0.30222,0.48062,1.1951,0.000676802,0.000676802,0.000676802
62,8639.89,0.44753,0.73032,1.74829,0.93156,0.92439,0.9601,0.94344,0.30617,0.4958,1.1984,0.000660299,0.000660299,0.000660299
63,8779.67,0.44516,0.73084,1.74791,0.93293,0.92549,0.96128,0.94237,0.30815,0.49299,1.19788,0.000643795,0.000643795,0.000643795
64,8919.95,0.44643,0.71385,1.74022,0.93596,0.9233,0.95902,0.94175,0.30938,0.51777,1.20178,0.000627292,0.000627292,0.000627292
65,9059.02,0.43659,0.70165,1.74025,0.93656,0.9228,0.96056,0.94402,0.30542,0.49654,1.20026,0.000610789,0.000610789,0.000610789
66,9197.31,0.43536,0.68667,1.73283,0.94384,0.9215,0.96142,0.94534,0.31525,0.4902,1.19809,0.000594286,0.000594286,0.000594286
67,9337.23,0.4336,0.68195,1.73667,0.9387,0.92745,0.96349,0.9468,0.30051,0.47049,1.19348,0.000577782,0.000577782,0.000577782
68,9478.48,0.43654,0.68629,1.73462,0.94892,0.9186,0.96425,0.94757,0.30479,0.47053,1.19787,0.000561279,0.000561279,0.000561279
69,9620.9,0.43437,0.6733,1.73764,0.93332,0.93274,0.96345,0.94744,0.29893,0.47653,1.19149,0.000544776,0.000544776,0.000544776
70,9762.24,0.42987,0.68501,1.7339,0.94293,0.9164,0.96309,0.94813,0.30377,0.49769,1.19526,0.000528272,0.000528272,0.000528272
71,9939.43,0.42846,0.67865,1.73796,0.93607,0.92707,0.96219,0.94843,0.29193,0.49491,1.19341,0.000511769,0.000511769,0.000511769
72,10080.7,0.41978,0.65909,1.7304,0.94753,0.92534,0.96463,0.94766,0.29711,0.47316,1.19486,0.000495266,0.000495266,0.000495266
73,10220,0.41331,0.64482,1.72967,0.95984,0.91533,0.96398,0.94833,0.29341,0.45764,1.19256,0.000478762,0.000478762,0.000478762
74,10359.4,0.41754,0.65578,1.73482,0.93308,0.93741,0.96473,0.9494,0.28768,0.4601,1.19042,0.000462259,0.000462259,0.000462259
75,10496.2,0.41226,0.64381,1.72564,0.94633,0.93455,0.96766,0.95215,0.29128,0.4442,1.18719,0.000445756,0.000445756,0.000445756
76,10631.6,0.41248,0.63577,1.7355,0.95546,0.90795,0.96355,0.94806,0.2872,0.47934,1.18837,0.000429253,0.000429253,0.000429253
77,10767.2,0.41021,0.64991,1.73047,0.95681,0.9202,0.9675,0.9532,0.28748,0.45807,1.18955,0.000412749,0.000412749,0.000412749
78,10902,0.41828,0.66456,1.7383,0.93957,0.92791,0.96494,0.9503,0.28387,0.46431,1.19027,0.000396246,0.000396246,0.000396246
79,11037.3,0.40228,0.64686,1.73059,0.95201,0.92322,0.96567,0.95168,0.28137,0.45695,1.18991,0.000379743,0.000379743,0.000379743
80,11172.4,0.41684,0.65097,1.7405,0.95149,0.91803,0.964,0.95179,0.285,0.46511,1.19277,0.000363239,0.000363239,0.000363239
81,11308.2,0.39613,0.62391,1.72539,0.95585,0.9244,0.96511,0.95158,0.28093,0.4526,1.18468,0.000346736,0.000346736,0.000346736
82,11443.7,0.39001,0.61664,1.73032,0.95344,0.92268,0.96537,0.9511,0.27641,0.44358,1.18653,0.000330233,0.000330233,0.000330233
83,11579.8,0.39279,0.61359,1.72653,0.94827,0.92366,0.96499,0.95178,0.28089,0.47232,1.19087,0.000313729,0.000313729,0.000313729
84,11716.4,0.38457,0.5917,1.72189,0.95791,0.92346,0.96752,0.95411,0.27089,0.43664,1.18442,0.000297226,0.000297226,0.000297226
85,11855,0.3862,0.63279,1.7232,0.952,0.92848,0.9652,0.95264,0.27569,0.44807,1.18351,0.000280723,0.000280723,0.000280723
86,11991.3,0.38988,0.61608,1.72363,0.95782,0.92684,0.96747,0.95382,0.27297,0.43259,1.18288,0.00026422,0.00026422,0.00026422
87,12127.9,0.37984,0.57996,1.72192,0.94837,0.93862,0.96794,0.95413,0.2704,0.42464,1.18413,0.000247716,0.000247716,0.000247716
88,12263.9,0.36559,0.57393,1.72063,0.94513,0.93729,0.96809,0.95486,0.26816,0.42743,1.1813,0.000231213,0.000231213,0.000231213
89,12399.8,0.38549,0.58463,1.73085,0.95105,0.93066,0.96731,0.9544,0.26876,0.44075,1.18018,0.00021471,0.00021471,0.00021471
90,12536.2,0.37451,0.58922,1.72233,0.95321,0.92686,0.96548,0.9535,0.27217,0.44122,1.18174,0.000198206,0.000198206,0.000198206
91,12740,0.35665,0.43539,1.70721,0.96448,0.91578,0.96562,0.95201,0.27624,0.45045,1.18332,0.000181703,0.000181703,0.000181703
92,12874.4,0.33751,0.40602,1.69905,0.95146,0.92807,0.96555,0.9528,0.27739,0.44289,1.1824,0.0001652,0.0001652,0.0001652
93,13008.1,0.33035,0.39211,1.69717,0.95651,0.93354,0.96906,0.9529,0.27414,0.41575,1.18447,0.000148696,0.000148696,0.000148696
94,13143.9,0.32633,0.36013,1.70031,0.96159,0.92951,0.96909,0.95398,0.27654,0.42491,1.18589,0.000132193,0.000132193,0.000132193
95,13279.4,0.32617,0.36643,1.68824,0.96164,0.92777,0.97052,0.95615,0.26813,0.40452,1.17907,0.00011569,0.00011569,0.00011569
96,13414.5,0.32208,0.35026,1.70182,0.96153,0.93503,0.96993,0.95639,0.26525,0.4053,1.17804,9.91865e-05,9.91865e-05,9.91865e-05
97,13548.7,0.32074,0.34137,1.68831,0.96374,0.92768,0.96964,0.95665,0.26425,0.40875,1.17862,8.26832e-05,8.26832e-05,8.26832e-05
98,13682.5,0.31832,0.34446,1.7055,0.96224,0.92813,0.97064,0.95573,0.26393,0.42018,1.178,6.61799e-05,6.61799e-05,6.61799e-05
99,13816.4,0.31512,0.33724,1.70679,0.96319,0.92912,0.971,0.95656,0.26151,0.40453,1.17628,4.96766e-05,4.96766e-05,4.96766e-05
100,13952.1,0.30079,0.34843,1.68259,0.95742,0.93218,0.96922,0.95535,0.26119,0.41105,1.1773,3.31733e-05,3.31733e-05,3.31733e-05
